loan_loan_id,account_id,loan_date,loan_amount,loan_duration,loan_payments,loan_status,district_id,acc_frequency,day_before_loan,sum_monthly_payment_amount,sum_monthly_payment_amount_in,sum_monthly_payment_amount_out,sum_monthly_payment_out_household,sum_monthly_payment_out_insurrance,sum_monthly_payment_in_interest_credited,sum_monthly_payment_out_payment_for_statement,sum_monthly_payment_out_sanction_interest_neg_bal,count_out_sanction_interest_neg_bal,count_monthly_payment_trans,current_monthly_payment_amount_out,current_monthly_payment_out_household,current_monthly_payment_out_insurrance,current_monthly_payment_out_payment_for_statement,current_monthly_payment_in_interest_credited,sum_other_amount,count_other_trans,sum_other_amount_in,sum_other_amount_out,balance_latest,client_gender,client_age,all_client_mean_age,all_client_count,card_type_classic,card_type_gold,card_type_junior,num_inhabitants,urban_rate,avg_salary,num_enterpreneurs_per1000inhabitants,unemploy_rate,number_crimes
4959,2,1994-01-05,80952,24,3373.0,A,1,monthly,313.0,429534,228687.0,200847.0,36330.0,0.0,1291.0,90.0,0.0,0,54,34477.0,7266.0,0.0,15.0,138.0,391823,33,227396.0,164427.0,27855,M,54,56.5,2,0,0,0,1204953,1.0,12541,167,0.315,92392.0
4961,19,1996-04-29,30276,12,2523.0,B,21,monthly,388.0,468508,242180.0,226328.0,127400.0,0.0,2835.0,120.0,0.0,0,80,18215.0,18200.0,0.0,15.0,168.0,338153,40,239345.0,98808.0,15854,F,60,60.0,1,0,0,0,103347,0.67,9104,123,1.785,2326.5
4962,25,1997-12-08,30276,12,2523.0,A,68,monthly,498.0,1986693,1009156.0,977537.0,95438.0,2296.0,4087.0,210.0,0.0,0,164,95384.0,6817.0,164.0,15.0,372.0,1884662,107,1005069.0,879593.0,31622,M,37,37.0,1,0,0,0,228848,0.5720000000000001,9893,96,4.359999999999999,5755.0
4967,37,1998-10-14,318480,60,5308.0,D,20,monthly,422.0,878356,447360.0,430996.0,27804.0,1164.0,2303.0,165.0,0.0,1,116,32913.0,2317.0,97.0,15.0,94.0,846920,66,445057.0,401863.0,16368,M,47,47.0,1,0,0,0,70646,0.584,8547,120,3.12,1552.5
4968,38,1998-04-19,110736,48,2307.0,C,19,weekly,254.0,259391,148404.0,110987.0,27604.0,912.0,1114.0,120.0,0.0,0,55,9890.0,6901.0,228.0,30.0,117.0,229641,35,147290.0,82351.0,37417,F,59,59.0,1,0,0,0,51428,0.527,8402,120,3.54,1049.0
4973,67,1996-05-02,165960,24,6915.0,A,16,monthly,561.0,1602800,813242.0,789558.0,89502.0,0.0,3487.0,210.0,0.0,0,125,40556.0,6393.0,0.0,15.0,114.0,1509601,79,809755.0,699846.0,23704,F,55,55.0,1,0,0,0,93931,0.569,8427,107,1.32,1893.5
4986,97,1997-08-10,102876,12,8573.0,A,74,monthly,462.0,571601,306057.0,265544.0,14360.0,33.0,2245.0,165.0,0.0,0,118,13980.0,1436.0,3.0,15.0,171.0,554798,71,303812.0,250986.0,40516,M,57,60.0,2,1,0,0,323870,1.0,10673,100,5.07,18564.5
4988,103,1997-12-06,265320,36,7370.0,D,44,monthly,636.0,716640,368308.0,348332.0,0.0,0.0,3655.0,120.0,19.0,4,83,15.0,0.0,0.0,15.0,34.0,712846,51,364653.0,348193.0,19975,M,32,32.0,1,0,0,0,105606,0.53,8254,97,3.23,2245.5
4989,105,1998-12-05,352704,48,7348.0,C,21,monthly,513.0,480620,255396.0,225224.0,0.0,0.0,2563.0,105.0,0.0,0,56,13115.0,0.0,0.0,15.0,97.0,477952,34,252833.0,225119.0,35875,F,49,49.0,1,1,0,0,103347,0.67,9104,123,1.785,2326.5
4990,110,1997-09-08,162576,36,4516.0,C,36,monthly,418.0,608234,331885.0,276349.0,27450.0,0.0,2353.0,135.0,0.0,0,84,15163.0,3050.0,0.0,15.0,225.0,578296,53,329532.0,248764.0,55540,M,46,46.0,1,1,0,0,159617,0.852,9198,131,3.79,5964.0
