loan_amount,loan_duration,loan_payments,loan_status,acc_frequency,day_before_loan,sum_monthly_payment_amount,sum_monthly_payment_amount_in,sum_monthly_payment_amount_out,sum_monthly_payment_out_household,sum_monthly_payment_out_insurrance,sum_monthly_payment_in_interest_credited,sum_monthly_payment_out_payment_for_statement,sum_monthly_payment_out_sanction_interest_neg_bal,count_out_sanction_interest_neg_bal,count_monthly_payment_trans,current_monthly_payment_amount_out,current_monthly_payment_out_household,current_monthly_payment_out_insurrance,current_monthly_payment_out_payment_for_statement,current_monthly_payment_in_interest_credited,sum_other_amount,count_other_trans,sum_other_amount_in,sum_other_amount_out,balance_latest,client_gender,client_age,all_client_mean_age,all_client_count,card_type_classic,card_type_gold,card_type_junior,num_inhabitants,urban_rate,avg_salary,num_enterpreneurs_per1000inhabitants,unemploy_rate,number_crimes
80952,24,3373.0,A,monthly,313.0,1372.3130990415336,730.629392971246,641.6837060702875,116.0702875399361,0.0,4.124600638977636,0.28753993610223644,0.0,0.0,0.17252396166134185,34477.0,7266.0,0.0,15.0,138.0,1251.8306709265175,33,726.5047923322684,525.3258785942492,27855,M,54,56.5,2,0,0,0,1204953,1.0,12541,167,0.315,92392.0
30276,12,2523.0,B,monthly,388.0,1207.4948453608247,624.1752577319587,583.319587628866,328.35051546391753,0.0,7.306701030927835,0.30927835051546393,0.0,0.0,0.20618556701030927,18215.0,18200.0,0.0,15.0,168.0,871.5283505154639,40,616.8685567010309,254.659793814433,15854,F,60,60.0,1,0,0,0,103347,0.67,9104,123,1.785,2326.5
30276,12,2523.0,A,monthly,498.0,3989.343373493976,2026.4176706827309,1962.925702811245,191.6425702811245,4.610441767068273,8.206827309236948,0.42168674698795183,0.0,0.0,0.3293172690763052,95384.0,6817.0,164.0,15.0,372.0,3784.4618473895584,107,2018.210843373494,1766.2510040160641,31622,M,37,37.0,1,0,0,0,228848,0.5720000000000001,9893,96,4.359999999999999,5755.0
318480,60,5308.0,D,monthly,422.0,2081.4123222748817,1060.0947867298578,1021.3175355450237,65.88625592417061,2.758293838862559,5.457345971563981,0.3909952606635071,0.0,0.002369668246445498,0.27488151658767773,32913.0,2317.0,97.0,15.0,94.0,2006.9194312796208,66,1054.637440758294,952.281990521327,16368,M,47,47.0,1,0,0,0,70646,0.584,8547,120,3.12,1552.5
110736,48,2307.0,C,weekly,254.0,1021.2244094488188,584.2677165354331,436.95669291338584,108.67716535433071,3.590551181102362,4.3858267716535435,0.47244094488188976,0.0,0.0,0.21653543307086615,9890.0,6901.0,228.0,30.0,117.0,904.0984251968504,35,579.8818897637796,324.2165354330709,37417,F,59,59.0,1,0,0,0,51428,0.527,8402,120,3.54,1049.0
165960,24,6915.0,A,monthly,561.0,2857.0409982174688,1449.6292335115866,1407.4117647058824,159.54010695187165,0.0,6.215686274509804,0.37433155080213903,0.0,0.0,0.22281639928698752,40556.0,6393.0,0.0,15.0,114.0,2690.9108734402853,79,1443.4135472370767,1247.4973262032086,23704,F,55,55.0,1,0,0,0,93931,0.569,8427,107,1.32,1893.5
102876,12,8573.0,A,monthly,462.0,1237.2316017316018,662.461038961039,574.7705627705627,31.082251082251084,0.07142857142857142,4.859307359307359,0.35714285714285715,0.0,0.0,0.2554112554112554,13980.0,1436.0,3.0,15.0,171.0,1200.861471861472,71,657.6017316017316,543.2597402597403,40516,M,57,60.0,2,1,0,0,323870,1.0,10673,100,5.07,18564.5
265320,36,7370.0,D,monthly,636.0,1126.7924528301887,579.1006289308176,547.6918238993711,0.0,0.0,5.74685534591195,0.18867924528301888,0.029874213836477988,0.006289308176100629,0.13050314465408805,15.0,0.0,0.0,15.0,34.0,1120.8270440251572,51,573.3537735849056,547.4732704402516,19975,M,32,32.0,1,0,0,0,105606,0.53,8254,97,3.23,2245.5
352704,48,7348.0,C,monthly,513.0,936.8810916179337,497.84795321637426,439.0331384015594,0.0,0.0,4.996101364522417,0.2046783625730994,0.0,0.0,0.10916179337231968,13115.0,0.0,0.0,15.0,97.0,931.6803118908382,34,492.85185185185185,438.82846003898635,35875,F,49,49.0,1,1,0,0,103347,0.67,9104,123,1.785,2326.5
162576,36,4516.0,C,monthly,418.0,1455.1052631578948,793.9832535885167,661.122009569378,65.66985645933015,0.0,5.6291866028708135,0.3229665071770335,0.0,0.0,0.20095693779904306,15163.0,3050.0,0.0,15.0,225.0,1383.4832535885168,53,788.3540669856459,595.1291866028708,55540,M,46,46.0,1,1,0,0,159617,0.852,9198,131,3.79,5964.0
