loan_loan_id,account_id,loan_date,loan_amount,loan_duration,loan_payments,loan_status,district_id,acc_frequency,acc_date,order_amount_min,order_amount_max,order_amount_sum,order_amount_mean,order_amount_count,order_k_symbol__household,order_k_symbol__insurrance,order_k_symbol__leasing,order_k_symbol__loan,trans_date_min,trans_date_max,trans_date_duration,trans_amount_min,trans_amount_max,trans_amount_var,trans_amount_pct_25,trans_amount_pct_50,trans_amount_pct_75,trans_amount_sum,trans_amount_mean,trans_amount_count,trans_balance_min,trans_balance_max,trans_balance_var,trans_balance_pct_25,trans_balance_pct_50,trans_balance_pct_75,trans_balance_sum,trans_balance_mean,trans_balance_count,trans_type_credit,trans_type_withdrawal,trans_operation_collection_from_anotherbank,trans_operation_credit_card_withdrawal,trans_operation_credit_in_cash,trans_operation_remittance_to_anotherbank,trans_operation_withdrawal_in_cash,trans_k_symbol_household,trans_k_symbol_insurrance,trans_k_symbol_interest_credited,trans_k_symbol_loan,trans_k_symbol_old-age_pension,trans_k_symbol_payment_for_statement,trans_k_symbol_sanction_interest_neg_bal,client_gender,client_age,all_client_mean_age,all_client_count,card_type_classic,card_type_gold,card_type_junior,num_inhabitants,urban_rate,avg_salary,num_enterpreneurs_per1000inhabitants,unemploy_rate,number_crimes
4959,2,1994-01-05,80952,24,3373.00,A,1,POPLATEK MESICNE,1993-02-26,3372.7,7266.0,10638.7,5319.35,2,1,0,0,1,1993-02-26,1998-12-31,2134 days,14,42000,59205564.73473511,187.25,3600.0,7266.0,3151514,6593.125523012553,478,1100,69302,121620223.92019966,28683.25,35865.0,44167.25,17466493,36540.780334728035,478,152.0,326.0,70.0,0.0,12.0,89.0,237.0,65.0,0.0,70.0,24.0,0.0,65.0,0.0,M,54,56.5,2,0,0,0,1204953,1.0,12541,167,0.315,92392.0
4961,19,1996-04-29,30276,12,2523.00,B,21,POPLATEK MESICNE,1995-04-07,2523.2,2523.2,2523.2,2523.2,1,0,0,0,1,1995-04-07,1998-12-31,1364 days,1,22708,47149966.63820952,30.0,1900.0,12900.0,1575532,5199.775577557756,303,-10605,58158,147087106.75345886,7904.0,15215.0,21415.5,4924680,16253.069306930693,303,152.0,151.0,45.0,0.0,17.0,8.0,143.0,32.0,0.0,90.0,8.0,0.0,40.0,8.0,F,60,60.0,1,0,0,0,103347,0.67,9104,123,1.785,2326.5
4962,25,1997-12-08,30276,12,2523.00,A,68,POPLATEK MESICNE,1996-07-28,164.0,6817.0,10614.2,2653.55,4,1,1,0,1,1996-07-28,1998-12-31,886 days,15,63300,230377980.4335713,237.25,2750.0,15436.75,2958556,10797.649635036496,274,900,134210,580373584.071723,37129.5,55909.5,71705.25,15420511,56279.23722627737,274,82.0,192.0,0.0,0.0,54.0,93.0,99.0,27.0,27.0,28.0,12.0,0.0,26.0,0.0,M,37,37.0,1,0,0,0,228848,0.572,9893,96,4.36,5755.0
4967,37,1998-10-14,318480,60,5308.00,D,20,POPLATEK MESICNE,1997-08-18,97.0,5307.5,10305.5,2576.375,4,1,1,0,1,1997-08-18,1998-12-31,500 days,0,49437,141978827.1812164,97.0,2584.0,6925.0,948159,7293.530769230769,130,-1011,104762,567552034.6548005,15743.75,37826.0,55267.5,4881173,37547.484615384616,130,36.0,94.0,0.0,0.0,19.0,43.0,51.0,14.0,14.0,17.0,1.0,0.0,13.0,1.0,M,47,47.0,1,0,0,0,70646,0.584,8547,120,3.12,1552.5
4968,38,1998-04-19,110736,48,2307.00,C,19,POPLATEK TYDNE,1997-08-08,228.0,6901.0,9666.8,2416.7,4,1,1,0,1,1997-08-08,1998-12-31,510 days,30,20762,29707454.234704822,228.0,2307.0,6901.0,571952,4399.630769230769,130,13841,55991,89403293.66487774,27790.5,34107.5,41995.5,4480110,34462.38461538462,130,48.0,82.0,17.0,0.0,14.0,45.0,37.0,12.0,12.0,17.0,8.0,0.0,12.0,0.0,F,59,59.0,1,0,0,0,51428,0.527,8402,120,3.54,1049.0
4973,67,1996-05-02,165960,24,6915.00,A,16,POPLATEK MESICNE,1994-10-19,445.0,6915.0,13753.0,4584.333333333333,3,1,0,0,1,1994-10-19,1998-12-31,1534 days,15,62235,245241515.3479614,445.0,6393.0,16600.0,4518183,11827.704188481675,382,700,134939,547528331.2181302,38848.25,50046.0,72974.75,21733281,56893.405759162306,382,102.0,280.0,50.0,0.0,2.0,116.0,164.0,46.0,0.0,50.0,24.0,0.0,45.0,0.0,F,55,55.0,1,0,0,0,93931,0.569,8427,107,1.32,1893.5
4986,97,1997-08-10,102876,12,8573.00,A,74,POPLATEK MESICNE,1996-05-05,3.0,8573.0,12438.0,2487.6,5,1,1,0,1,1996-05-05,1998-12-31,970 days,3,26892,42873344.18678645,15.0,1436.0,6500.0,1229270,4486.386861313868,274,900,67288,137209732.55688345,33593.25,40773.0,47584.25,10909208,39814.62773722628,274,67.0,207.0,0.0,5.0,35.0,121.0,81.0,27.0,27.0,32.0,12.0,0.0,27.0,0.0,M,57,60.0,2,1,0,0,323870,1.0,10673,100,5.07,18564.5
4988,103,1997-12-06,265320,36,7370.00,D,44,POPLATEK MESICNE,1996-03-10,7370.2,7370.2,7370.2,7370.2,1,0,0,0,1,1996-03-10,1998-12-31,1026 days,4,62700,165141038.3409519,185.0,4800.0,13800.0,1714758,9268.962162162163,185,-1140,124758,689346792.4878384,27368.0,50096.0,63801.0,8933437,48288.84864864865,185,84.0,101.0,0.0,0.0,38.0,11.0,90.0,0.0,0.0,46.0,11.0,0.0,20.0,8.0,M,32,32.0,1,0,0,0,105606,0.53,8254,97,3.23,2245.5
4989,105,1998-12-05,352704,48,7348.00,C,21,POPLATEK MESICNE,1997-07-10,7348.0,7348.0,7348.0,7348.0,1,0,0,0,1,1997-07-10,1998-12-31,539 days,15,49101,131362883.85564004,116.0,4700.0,10650.0,493762,8368.847457627118,59,800,74694,262661228.7206312,20855.5,24915.0,38222.0,1781837,30200.627118644068,59,30.0,29.0,0.0,0.0,14.0,1.0,28.0,0.0,0.0,16.0,1.0,0.0,7.0,0.0,F,49,49.0,1,1,0,0,103347,0.67,9104,123,1.785,2326.5
4990,110,1997-09-08,162576,36,4516.00,C,36,POPLATEK MESICNE,1996-07-17,98.0,4516.0,7664.0,2554.6666666666665,3,1,0,0,1,1996-07-17,1998-12-31,897 days,15,44480,91850971.12753044,177.0,3050.0,8800.0,1429406,6839.263157894737,209,900,79652,144936845.278248,36148.0,45009.0,54505.0,9481353,45365.325358851675,209,61.0,148.0,0.0,5.0,32.0,64.0,79.0,24.0,0.0,29.0,16.0,0.0,24.0,0.0,M,46,46.0,1,1,0,0,159617,0.852,9198,131,3.79,5964.0
4996,132,1996-11-06,88440,12,7370.00,A,40,POPLATEK PO OBRATU,1996-05-11,7370.2,7370.2,7370.2,7370.2,1,0,0,0,1,1996-05-11,1998-12-31,964 days,42,47976,193735697.05965745,222.25,7370.0,21800.0,2535955,12807.853535353535,198,200,144112,766790947.5245103,34432.5,48969.0,70496.25,10415417,52603.11616161616,198,79.0,119.0,0.0,2.0,47.0,12.0,105.0,0.0,0.0,32.0,12.0,0.0,29.0,0.0,F,54,57.5,2,1,0,0,128118,0.853,9317,97,6.735,6910.5
5002,173,1994-05-31,104808,12,8734.00,A,66,POPLATEK MESICNE,1993-11-26,189.0,8734.0,17342.0,3468.4,5,1,1,0,1,1993-11-26,1998-12-31,1861 days,15,25970,36100825.78693684,189.0,1428.0,6256.0,2581475,4513.068181818182,572,500,87882,214517424.28511807,27011.5,34344.5,45195.25,21412199,37433.91433566433,572,156.0,416.0,0.0,0.0,95.0,240.0,176.0,57.0,57.0,61.0,12.0,0.0,56.0,0.0,M,60,57.0,2,0,0,0,125832,0.483,8512,102,3.81,2175.0
5005,176,1997-04-10,27456,12,2288.00,A,71,POPLATEK TYDNE,1996-08-12,36.0,4564.0,6985.3,1746.325,4,1,1,0,1,1996-08-12,1998-12-31,871 days,30,61900,224769564.71678558,97.0,2700.0,17295.5,2890719,10550.069343065694,274,800,126553,615938892.4202564,29666.75,47142.0,66556.5,13496182,49256.13868613139,274,82.0,192.0,0.0,0.0,53.0,90.0,102.0,26.0,26.0,29.0,12.0,0.0,26.0,0.0,M,32,32.0,1,0,0,0,161227,0.697,8678,102,5.735,4787.5
5015,226,1998-07-12,109344,12,9112.00,C,70,POPLATEK MESICNE,1997-02-23,8928.0,9112.0,18040.0,9020.0,2,1,0,0,1,1997-02-23,1998-12-31,676 days,15,28588,57165926.09132756,212.0,6500.0,9112.0,933130,7233.565891472868,129,1000,80433,130848546.53100774,44330.0,49346.0,55585.0,6411173,49699.01550387597,129,55.0,74.0,0.0,6.0,33.0,24.0,44.0,18.0,0.0,22.0,6.0,0.0,17.0,0.0,F,55,55.0,1,1,0,0,285387,0.899,10177,81,7.175,9993.0
