account_id,loan_amount,loan_duration,loan_payments,loan_status,acc_frequency,day_before_loan,sum_monthly_payment_amount,sum_monthly_payment_amount_in,sum_monthly_payment_amount_out,sum_monthly_payment_out_household,sum_monthly_payment_out_insurrance,sum_monthly_payment_in_interest_credited,sum_monthly_payment_out_payment_for_statement,sum_monthly_payment_out_sanction_interest_neg_bal,count_out_sanction_interest_neg_bal,count_monthly_payment_trans,current_monthly_payment_amount_out,current_monthly_payment_out_household,current_monthly_payment_out_insurrance,current_monthly_payment_out_payment_for_statement,current_monthly_payment_in_interest_credited,sum_other_amount,sum_other_amount_in,sum_other_amount_out,count_other_trans,balance_latest,client_gender,client_age,all_client_mean_age,all_client_count,card_type_classic,card_type_gold,card_type_junior,num_inhabitants,urban_rate,avg_salary,num_enterpreneurs_per1000inhabitants,unemploy_rate,number_crimes,balance_mean,balance_min,balance_max,balance_min_last_month,balance_max_last_month,balance_mean_last_month,balance_min_last_3months,balance_max_last_3months,balance_mean_last_3months,balance_mean_per_loan_payment,balance_mean_last_month_per_loan_payment,balance_mean_per_loan_amount,balance_mean_last_month_per_loan_amount,growth_balance,amount_last_month,amount_last_month_in,amount_last_month_out,amount_last_month_per_loan_payments,amount_last_mount_in_per_loan_payments,amount_last_mount_out_per_loan_payments,amount_last_month_per_loan_amount,amount_last_mount_in_per_loan_amount,amount_last_mount_out_per_loan_amount,amount_last_3months_avg,amount_last_3months_in_avg,amount_last_3months_out_avg,amount_last_3months_per_loan_payments,amount_last_3months_in_per_loan_payments,amount_last_3months_out_per_loan_payments,amount_last_3months_per_loan_amount,amount_last_3months_in_per_loan_amount,amount_last_3months_out_per_loan_amount
2,80952,24,3373,A,monthly,313,1372.313099,730.629393,641.6837061,116.0702875,0,4.124600639,0.287539936,0,0,0.172523962,34477,7266,0,15,138,1251.830671,726.5047923,525.3258786,33,27855,M,54,56.5,2,0,0,0,1204953,1,12541,167,0.315,92392,32590.75926,1100,67530,16859,47213,29792.55556,10508,47213,29326.65,9.662247038,8.832658036,0.402593627,0.368027418,53.9817284,64969,30492,34477,19.26148829,9.040023718,10.22146457,0.802562012,0.376667655,0.425894357,44114.33333,23734.66667,20379.66667,13.0786639,7.036663702,6.042000198,0.544944329,0.293194321,0.251750008
19,30276,12,2523,B,monthly,388,1207.494845,624.1752577,583.3195876,328.3505155,0,7.306701031,0.309278351,0,0,0.206185567,18215,18200,0,15,168,871.5283505,616.8685567,254.6597938,40,15854,F,60,60,1,0,0,0,103347,0.67,9104,123,1.785,2326.5,25197.1375,715,58158,715,18915,14062.5,715,35162,15123.19048,9.986974832,5.57372176,0.832247903,0.464476813,57.46111111,36122,17907,18215,14.31708284,7.097502973,7.219579865,1.193090236,0.591458581,0.601631655,36373.33333,17858.33333,18515,14.4166997,7.078213767,7.338485929,1.201391641,0.589851147,0.611540494
25,30276,12,2523,A,monthly,498,3989.343373,2026.417671,1962.925703,191.6425703,4.610441767,8.206827309,0.421686747,0,0,0.329317269,95384,6817,164,15,372,3784.461847,2018.210843,1766.251004,107,31622,M,37,37,1,0,0,0,228848,0.572,9893,96,4.36,5755,62991.40854,900,119653,31622,119653,64026.55556,31622,119653,67839.3,24.96686823,25.37715242,2.080572352,2.114762702,1.585185185,131972,36588,95384,52.30757035,14.50178359,37.80578676,4.358964196,1.208481966,3.15048223,115321.6667,53753,61568.66667,45.70815167,21.30519223,24.40295944,3.809012639,1.775432686,2.033579953
37,318480,60,5308,D,monthly,422,2081.412322,1060.094787,1021.317536,65.88625592,2.758293839,5.457345972,0.390995261,0,0.002369668,0.274881517,32913,2317,97,15,94,2006.919431,1054.637441,952.2819905,66,16368,M,47,47,1,0,0,0,70646,0.584,8547,120,3.12,1552.5,39954.03448,-1011,104762,16368,49186,33760.7,-1011,49186,20563.07143,7.527135358,6.360342879,0.125452256,0.106005715,290.0730556,75964,43051,32913,14.31122833,8.110587792,6.200640543,0.238520472,0.135176463,0.103344009,60867,30319.33333,30547.66667,11.4670309,5.712007033,5.755023863,0.191117182,0.095200117,0.095917064
38,110736,48,2307,C,weekly,254,1021.224409,584.2677165,436.9566929,108.6771654,3.590551181,4.385826772,0.472440945,0,0,0.216535433,9890,6901,228,30,117,904.0984252,579.8818898,324.2165354,35,37417,F,59,59,1,0,0,0,51428,0.527,8402,120,3.54,1049,31383.58182,13841,55991,23807,37648,31890.75,15671,37648,26212.69231,13.60363321,13.82347204,0.283409025,0.287989001,98.97253086,27848,17958,9890,12.07108799,7.784135241,4.286952752,0.251481,0.162169484,0.089311516,29212.33333,16590.33333,12622,12.66247652,7.191301835,5.471174686,0.263801594,0.149818788,0.113982806
67,165960,24,6915,A,monthly,561,2857.040998,1449.629234,1407.411765,159.540107,0,6.215686275,0.374331551,0,0,0.222816399,40556,6393,0,15,114,2690.910873,1443.413547,1247.497326,79,23704,F,55,55,1,0,0,0,93931,0.569,8427,107,1.32,1893.5,52523.336,700,107070,23590,64131,33995.77778,22495,91307,42163.11111,7.595565582,4.916236844,0.316481899,0.204843202,-227.6358025,82160,41604,40556,11.88141721,6.0164859,5.864931309,0.49505905,0.250686913,0.244372138,92081,41723,50358,13.31612437,6.033694866,7.282429501,0.554838515,0.251403953,0.303434563
97,102876,12,8573,A,monthly,462,1237.231602,662.461039,574.7705628,31.08225108,0.071428571,4.859307359,0.357142857,0,0,0.255411255,13980,1436,3,15,171,1200.861472,657.6017316,543.2597403,71,40516,M,57,60,2,1,0,0,323870,1,10673,100,5.07,18564.5,33057.45763,900,60335,28961,46889,39755.22222,22609,55322,37100.89655,3.855996457,4.637259095,0.321333038,0.386438258,99.94802469,32079,18099,13980,3.741863992,2.111162953,1.630701038,0.311821999,0.175930246,0.135891753,38370,21930,16440,4.475679459,2.558031028,1.917648431,0.372973288,0.213169252,0.159804036
103,265320,36,7370,D,monthly,636,1126.792453,579.1006289,547.6918239,0,0,5.746855346,0.188679245,0.029874214,0.006289308,0.130503145,15,0,0,15,34,1120.827044,573.3537736,547.4732704,51,19975,M,32,32,1,0,0,0,105606,0.53,8254,97,3.23,2245.5,46266.57831,379,116038,19960,19993,19976.5,379,29300,15951.77273,6.277690409,2.710515604,0.174380289,0.0752921,128.1092593,15249,15234,15,2.069063772,2.067028494,0.002035278,0.057473994,0.057417458,5.65E-05,40218.33333,17516.66667,22701.66667,5.457033017,2.376752601,3.080280416,0.15158425,0.066020906,0.085563345
105,352704,48,7348,C,monthly,513,936.8810916,497.8479532,439.0331384,0,0,4.996101365,0.204678363,0,0,0.109161793,13115,0,0,15,97,931.6803119,492.8518519,438.82846,34,35875,F,49,49,1,1,0,0,103347,0.67,9104,123,1.785,2326.5,30797.53571,800,74694,23693,35875,27461.6,20818,35875,25302.85714,4.191281398,3.737289058,0.087318362,0.077860189,44.03166667,25312,12197,13115,3.44474687,1.659907458,1.784839412,0.07176556,0.034581405,0.037184154,21079.33333,8997.666667,12081.66667,2.868717111,1.224505534,1.644211577,0.05976494,0.025510532,0.034254408
110,162576,36,4516,C,monthly,418,1455.105263,793.9832536,661.1220096,65.66985646,0,5.629186603,0.322966507,0,0,0.200956938,15163,3050,0,15,225,1383.483254,788.354067,595.1291866,53,55540,M,46,46,1,1,0,0,159617,0.852,9198,131,3.79,5964,46148.27381,900,79652,34942,58604,52166.33333,31067,66482,46099.43478,10.21883831,11.55144671,0.28385662,0.32087352,110.0414815,38826,23663,15163,8.597431355,5.239813995,3.35761736,0.238817538,0.145550389,0.093267149,49724.33333,27548,22176.33333,11.01070269,6.100088574,4.910614113,0.305852852,0.169446905,0.136405948
