loan_loan_id,account_id,loan_date,loan_amount,loan_duration,loan_payments,loan_status,district_id,acc_frequency,day_before_loan,sum_monthly_payment_amount_notnorm,sum_monthly_payment_amount_in_notnorm,sum_monthly_payment_amount_out_notnorm,sum_monthly_payment_out_household_notnorm,sum_monthly_payment_out_insurrance_notnorm,sum_monthly_payment_in_interest_credited_notnorm,sum_monthly_payment_out_payment_for_statement_notnorm,sum_monthly_payment_out_sanction_interest_neg_bal_notnorm,count_out_sanction_interest_neg_bal_notnorm,count_monthly_payment_trans_notnorm,current_monthly_payment_amount_out,current_monthly_payment_out_household,current_monthly_payment_out_insurrance,current_monthly_payment_out_payment_for_statement,current_monthly_payment_in_interest_credited,sum_other_amount_notnorm,count_other_trans_notnorm,sum_other_amount_in_notnorm,sum_other_amount_out_notnorm,balance_latest,client_gender,client_age,all_client_mean_age,all_client_count,card_type_classic,card_type_gold,card_type_junior,num_inhabitants,urban_rate,avg_salary,num_enterpreneurs_per1000inhabitants,unemploy_rate,number_crimes
4959,2,5/1/1994,80952,24,3373,A,1,monthly,313,429534,228687,200847,36330,0,1291,90,0,0,54,34477,7266,0,15,138,391823,33,227396,164427,27855,M,54,56.5,2,0,0,0,1204953,1,12541,167,0.315,92392
4961,19,29/4/1996,30276,12,2523,B,21,monthly,388,468508,242180,226328,127400,0,2835,120,0,0,80,18215,18200,0,15,168,338153,40,239345,98808,15854,F,60,60,1,0,0,0,103347,0.67,9104,123,1.785,2326.5
4962,25,8/12/1997,30276,12,2523,A,68,monthly,498,1986693,1009156,977537,95438,2296,4087,210,0,0,164,95384,6817,164,15,372,1884662,107,1005069,879593,31622,M,37,37,1,0,0,0,228848,0.572,9893,96,4.36,5755
4967,37,14/10/1998,318480,60,5308,D,20,monthly,422,878356,447360,430996,27804,1164,2303,165,0,1,116,32913,2317,97,15,94,846920,66,445057,401863,16368,M,47,47,1,0,0,0,70646,0.584,8547,120,3.12,1552.5
4968,38,19/4/1998,110736,48,2307,C,19,weekly,254,259391,148404,110987,27604,912,1114,120,0,0,55,9890,6901,228,30,117,229641,35,147290,82351,37417,F,59,59,1,0,0,0,51428,0.527,8402,120,3.54,1049
4973,67,2/5/1996,165960,24,6915,A,16,monthly,561,1602800,813242,789558,89502,0,3487,210,0,0,125,40556,6393,0,15,114,1509601,79,809755,699846,23704,F,55,55,1,0,0,0,93931,0.569,8427,107,1.32,1893.5
4986,97,10/8/1997,102876,12,8573,A,74,monthly,462,571601,306057,265544,14360,33,2245,165,0,0,118,13980,1436,3,15,171,554798,71,303812,250986,40516,M,57,60,2,1,0,0,323870,1,10673,100,5.07,18564.5
4988,103,6/12/1997,265320,36,7370,D,44,monthly,636,716640,368308,348332,0,0,3655,120,19,4,83,15,0,0,15,34,712846,51,364653,348193,19975,M,32,32,1,0,0,0,105606,0.53,8254,97,3.23,2245.5
4989,105,5/12/1998,352704,48,7348,C,21,monthly,513,480620,255396,225224,0,0,2563,105,0,0,56,13115,0,0,15,97,477952,34,252833,225119,35875,F,49,49,1,1,0,0,103347,0.67,9104,123,1.785,2326.5
4990,110,8/9/1997,162576,36,4516,C,36,monthly,418,608234,331885,276349,27450,0,2353,135,0,0,84,15163,3050,0,15,225,578296,53,329532,248764,55540,M,46,46,1,1,0,0,159617,0.852,9198,131,3.79,5964
4996,132,6/11/1996,88440,12,7370,A,40,after_transaction,179,460375,269642,190733,0,0,1517,400,0,0,31,16600,0,0,100,283,458458,21,268125,190333,79008,F,54,57.5,2,1,0,0,128118,0.853,9317,97,6.735,6910.5
5002,173,31/5/1994,104808,12,8734,A,66,monthly,186,199278,113647,85631,12512,1470,612,15,0,0,30,23723,6256,735,15,168,184669,20,113035,71634,28015,M,60,57,2,0,0,0,125832,0.483,8512,102,3.81,2175
5005,176,10/4/1997,27456,12,2288,A,71,weekly,241,885024,460653,424371,22820,485,1545,180,0,0,75,189927,4564,97,30,319,859994,51,459108,400886,36281,M,32,32,1,0,0,0,161227,0.697,8678,102,5.735,4787.5
5015,226,12/7/1998,109344,12,9112,C,70,monthly,504,697663,382159,315504,116064,0,2869,180,0,0,93,33071,17856,0,15,236,578550,52,379290,199260,66657,F,55,55,1,1,0,0,285387,0.899,10177,81,7.175,9993
5027,276,2/12/1998,160920,36,4470,C,38,monthly,359,656117,352220,303897,36484,0,2822,120,0,0,59,32527,5212,0,15,189,616691,32,349398,267293,48340,M,28,28,1,1,0,0,85852,0.598,8965,104,7.615,2737.5
5032,290,3/11/1994,123696,48,2577,A,56,monthly,336,546151,285669,260482,15918,0,2169,90,0,0,61,5942,2653,0,15,114,527974,39,283500,244474,25202,M,59,59,1,0,0,0,124605,0.46,8772,126,4.79,3006
5034,303,30/5/1998,112752,36,3132,C,71,monthly,674,720529,384720,335809,68454,0,3601,255,0,0,129,16278,3803,0,15,213,648219,73,381119,267100,48917,F,43,43,1,1,0,0,161227,0.697,8678,102,5.735,4787.5
5036,309,25/11/1998,91248,48,1901,C,14,monthly,579,783962,399412,384550,0,0,2118,210,0,0,99,24635,0,0,15,104,781634,67,397294,384340,14867,F,26,26,1,0,0,0,177686,0.748,10045,135,1.555,6449.5
5039,314,3/5/1997,66840,24,2785,C,15,after_transaction,463,1179010,600842,578168,150601,0,2189,1100,0,0,94,50091,13691,0,100,176,1025120,57,598653,426467,22774,F,60,62,2,0,0,0,58796,0.519,9045,124,3.35,1862
5041,319,11/7/1997,369000,60,6150,C,47,weekly,633,1035410,547477,487933,19026,7904,3660,570,0,0,171,13115,1057,832,30,190,1004250,95,543817,460433,59545,F,25,25,1,0,0,0,162580,0.728,9538,111,1.655,5744.5
5042,330,12/7/1998,331584,48,6908,C,42,monthly,595,936780,496135,440645,0,0,3087,225,0,0,101,24115,0,0,15,182,933468,67,493048,440420,55495,F,26,29,2,0,0,0,95907,0.591,8388,87,2.67,1663
5043,339,25/12/1997,468060,60,7801,C,46,weekly,470,1552054,823645,728409,44957,0,4124,330,0,0,112,38265,4087,0,30,287,1502643,75,819521,683122,102735,F,52,53,2,1,0,0,112709,0.735,8369,117,2.005,2736
5044,344,21/12/1994,100980,60,1683,C,54,monthly,385,368279,207708,160571,42651,0,1662,120,0,0,70,15754,4739,0,15,162,323846,41,206046,117800,47138,M,34,34,1,0,0,0,387570,1,9897,140,1.78,18708.5
5045,347,1/5/1995,187224,24,7801,B,65,monthly,504,953460,502144,451316,0,0,2663,180,0,1,88,8230,0,0,30,165,950617,58,499481,451136,50847,M,52,52,1,0,0,0,114200,0.437,8403,105,5.71,2437.5
5046,349,9/9/1998,42816,12,3568,C,72,monthly,458,272504,145599,126905,46600,0,1149,165,0,0,85,7075,4660,0,15,69,224590,49,144450,80140,18697,M,62,60,2,0,0,0,226122,0.626,8994,110,4.295,9440
5051,378,11/10/1997,230400,60,3840,C,68,monthly,446,2115382,1082327,1033055,110981,26,4528,210,0,0,168,46296,8537,2,15,259,1999637,113,1077799,921838,49277,M,38,38,1,0,0,0,228848,0.572,9893,96,4.36,5755
5060,426,19/7/1994,252060,60,4201,D,1,monthly,232,709135,389615,319520,37485,0,1277,75,0,0,61,43188,7497,0,15,202,670298,44,388338,281960,70097,F,34,34,1,0,0,0,1204953,1,12541,167,0.315,92392
5061,440,13/3/1998,84288,48,1756,C,29,monthly,446,505122,272322,232800,58250,0,1513,150,0,0,85,7440,5825,0,15,112,445209,51,270809,174400,39526,F,42,42,1,0,0,0,45714,0.556,8843,113,3.2,853
5063,442,10/7/1997,357840,48,7455,D,54,monthly,102,10100,10100,0,0,0,0,0,0,0,2,0,0,0,0,0,10100,2,10100,0,10100,F,58,58,1,0,0,0,387570,1,9897,140,1.78,18708.5
5072,472,28/4/1997,196800,24,8200,D,8,monthly,199,603997,321082,282915,0,0,975,15,0,0,23,48215,0,0,15,192,603007,17,320107,282900,38166,F,39,39,1,0,0,0,112065,0.694,11277,127,1.32,5083
5082,501,24/10/1996,262980,60,4383,C,13,monthly,369,409377,242727,166650,0,0,1869,150,0,0,56,8615,0,0,15,138,407358,35,240858,166500,76081,F,33,33,1,0,0,0,53921,0.413,8598,123,2.98,1736
5086,525,16/7/1997,210384,48,4383,C,70,monthly,483,461704,254090,207614,38724,0,2599,90,0,0,59,28369,6454,0,15,201,420291,33,251491,168800,46478,F,43,43,1,0,0,0,285387,0.899,10177,81,7.175,9993
5088,544,22/8/1996,91152,24,3798,A,32,monthly,465,727883,383630,344253,0,0,2510,150,0,0,77,40615,0,0,15,228,725223,53,381120,344103,39379,M,57,57,1,1,0,0,105058,0.81,9272,118,3.01,4422.5
5103,666,28/11/1997,12540,12,1045,A,27,monthly,623,638878,346718,292160,59040,14325,3371,225,0,0,152,13688,3936,955,15,213,561917,88,343347,218570,54562,F,59,61,2,1,0,0,67298,0.438,8561,110,0.945,1078
5110,675,1/4/1997,102240,60,1704,C,58,monthly,607,472023,253393,218630,95370,0,2526,240,0,0,126,12673,6358,0,15,150,373887,75,250867,123020,34783,F,54,56.5,2,1,0,0,109164,0.636,8757,96,3.625,2341.5
5117,718,20/8/1997,76944,12,6412,A,1,monthly,535,915510,487382,428128,7986,66451,2069,150,0,0,110,64929,726,6041,15,241,838854,64,485313,353541,59256,F,43,43,1,1,0,0,1204953,1,12541,167,0.315,92392
5124,785,12/2/1998,156096,36,4336,C,21,weekly,187,314437,171455,142982,14790,0,1358,60,0,0,33,34525,7395,0,30,222,298229,23,170097,128132,28472,M,47,47,1,0,0,0,103347,0.67,9104,123,1.785,2326.5
5125,789,23/11/1995,73056,48,1522,C,39,monthly,290,124715,73130,51585,10765,0,864,75,0,0,51,8609,2153,0,15,98,113011,32,72266,40745,21546,M,29,25.5,2,0,0,0,119895,0.899,10446,90,8.35,4845
5126,790,24/7/1994,208128,48,4336,B,54,monthly,439,604301,342886,261415,0,0,1824,120,0,0,64,19515,0,0,15,142,602357,43,341062,261295,81475,M,48,48,1,1,0,0,387570,1,9897,140,1.78,18708.5
5128,808,11/4/1996,215616,48,4492,D,69,monthly,303,321698,165169,156529,52200,0,1659,75,14,2,61,15129,11700,0,15,73,267750,31,163510,104240,8641,M,42,42,1,0,0,0,42821,0.484,8173,124,7.01,1358
5130,813,11/5/1994,24312,12,2026,A,16,monthly,455,386064,207261,178803,0,0,1897,165,0,0,78,10215,0,0,15,139,384002,52,205364,178638,28462,F,44,44,1,0,0,0,93931,0.569,8427,107,1.32,1893.5
5131,816,8/1/1995,48624,24,2026,A,52,monthly,521,1425159,736575,688584,54168,0,4091,180,0,0,117,99429,4514,0,15,335,1366720,76,732484,634236,47994,M,38,38,1,0,0,0,139012,0.619,8363,108,2.995,2681.5
