account_id,loan_amount,loan_duration,loan_payments,loan_status,acc_frequency,day_before_loan,sum_monthly_payment_amount,sum_monthly_payment_amount_in,sum_monthly_payment_amount_out,sum_monthly_payment_out_household,sum_monthly_payment_out_insurrance,sum_monthly_payment_in_interest_credited,sum_monthly_payment_out_payment_for_statement,sum_monthly_payment_out_sanction_interest_neg_bal,count_out_sanction_interest_neg_bal,count_monthly_payment_trans,current_monthly_payment_amount_out,current_monthly_payment_out_household,current_monthly_payment_out_insurrance,current_monthly_payment_out_payment_for_statement,current_monthly_payment_in_interest_credited,sum_other_amount,sum_other_amount_in,sum_other_amount_out,count_other_trans,balance_latest,client_gender,client_age,all_client_mean_age,all_client_count,card_type_classic,card_type_gold,card_type_junior,num_inhabitants,urban_rate,avg_salary,num_enterpreneurs_per1000inhabitants,unemploy_rate,number_crimes
2,80952,24,3373,A,monthly,313,1372.313099,730.629393,641.6837061,116.0702875,0,4.124600639,0.287539936,0,0,0.172523962,34477,7266,0,15,138,1251.830671,726.5047923,525.3258786,33,27855,M,54,56.5,2,0,0,0,1204953,1,12541,167,0.315,92392
19,30276,12,2523,B,monthly,388,1207.494845,624.1752577,583.3195876,328.3505155,0,7.306701031,0.309278351,0,0,0.206185567,18215,18200,0,15,168,871.5283505,616.8685567,254.6597938,40,15854,F,60,60,1,0,0,0,103347,0.67,9104,123,1.785,2326.5
25,30276,12,2523,A,monthly,498,3989.343373,2026.417671,1962.925703,191.6425703,4.610441767,8.206827309,0.421686747,0,0,0.329317269,95384,6817,164,15,372,3784.461847,2018.210843,1766.251004,107,31622,M,37,37,1,0,0,0,228848,0.572,9893,96,4.36,5755
37,318480,60,5308,D,monthly,422,2081.412322,1060.094787,1021.317536,65.88625592,2.758293839,5.457345972,0.390995261,0,0.002369668,0.274881517,32913,2317,97,15,94,2006.919431,1054.637441,952.2819905,66,16368,M,47,47,1,0,0,0,70646,0.584,8547,120,3.12,1552.5
38,110736,48,2307,C,weekly,254,1021.224409,584.2677165,436.9566929,108.6771654,3.590551181,4.385826772,0.472440945,0,0,0.216535433,9890,6901,228,30,117,904.0984252,579.8818898,324.2165354,35,37417,F,59,59,1,0,0,0,51428,0.527,8402,120,3.54,1049
67,165960,24,6915,A,monthly,561,2857.040998,1449.629234,1407.411765,159.540107,0,6.215686275,0.374331551,0,0,0.222816399,40556,6393,0,15,114,2690.910873,1443.413547,1247.497326,79,23704,F,55,55,1,0,0,0,93931,0.569,8427,107,1.32,1893.5
97,102876,12,8573,A,monthly,462,1237.231602,662.461039,574.7705628,31.08225108,0.071428571,4.859307359,0.357142857,0,0,0.255411255,13980,1436,3,15,171,1200.861472,657.6017316,543.2597403,71,40516,M,57,60,2,1,0,0,323870,1,10673,100,5.07,18564.5
103,265320,36,7370,D,monthly,636,1126.792453,579.1006289,547.6918239,0,0,5.746855346,0.188679245,0.029874214,0.006289308,0.130503145,15,0,0,15,34,1120.827044,573.3537736,547.4732704,51,19975,M,32,32,1,0,0,0,105606,0.53,8254,97,3.23,2245.5
105,352704,48,7348,C,monthly,513,936.8810916,497.8479532,439.0331384,0,0,4.996101365,0.204678363,0,0,0.109161793,13115,0,0,15,97,931.6803119,492.8518519,438.82846,34,35875,F,49,49,1,1,0,0,103347,0.67,9104,123,1.785,2326.5
110,162576,36,4516,C,monthly,418,1455.105263,793.9832536,661.1220096,65.66985646,0,5.629186603,0.322966507,0,0,0.200956938,15163,3050,0,15,225,1383.483254,788.354067,595.1291866,53,55540,M,46,46,1,1,0,0,159617,0.852,9198,131,3.79,5964
132,88440,12,7370,A,after_transaction,179,2571.927374,1506.379888,1065.547486,0,0,8.474860335,2.234636872,0,0,0.173184358,16600,0,0,100,283,2561.217877,1497.905028,1063.312849,21,79008,F,54,57.5,2,1,0,0,128118,0.853,9317,97,6.735,6910.5
173,104808,12,8734,A,monthly,186,1071.387097,611.0053763,460.3817204,67.2688172,7.903225806,3.290322581,0.080645161,0,0,0.161290323,23723,6256,735,15,168,992.844086,607.7150538,385.1290323,20,28015,M,60,57,2,0,0,0,125832,0.483,8512,102,3.81,2175
176,27456,12,2288,A,weekly,241,3672.298755,1911.423237,1760.875519,94.68879668,2.012448133,6.410788382,0.746887967,0,0,0.31120332,189927,4564,97,30,319,3568.439834,1905.012448,1663.427386,51,36281,M,32,32,1,0,0,0,161227,0.697,8678,102,5.735,4787.5
226,109344,12,9112,C,monthly,504,1384.251984,758.2519841,626,230.2857143,0,5.692460317,0.357142857,0,0,0.18452381,33071,17856,0,15,236,1147.916667,752.5595238,395.3571429,52,66657,F,55,55,1,1,0,0,285387,0.899,10177,81,7.175,9993
276,160920,36,4470,C,monthly,359,1827.623955,981.1142061,846.5097493,101.6267409,0,7.860724234,0.334261838,0,0,0.164345404,32527,5212,0,15,189,1717.802228,973.2534819,744.5487465,32,48340,M,28,28,1,1,0,0,85852,0.598,8965,104,7.615,2737.5
290,123696,48,2577,A,monthly,336,1625.449405,850.2053571,775.2440476,47.375,0,6.455357143,0.267857143,0,0,0.181547619,5942,2653,0,15,114,1571.35119,843.75,727.6011905,39,25202,M,59,59,1,0,0,0,124605,0.46,8772,126,4.79,3006
303,112752,36,3132,C,monthly,674,1069.034125,570.8011869,498.2329377,101.5637982,0,5.34272997,0.378338279,0,0,0.191394659,16278,3803,0,15,213,961.7492582,565.458457,396.2908012,73,48917,F,43,43,1,1,0,0,161227,0.697,8678,102,5.735,4787.5
309,91248,48,1901,C,monthly,579,1353.993092,689.8307427,664.1623489,0,0,3.658031088,0.362694301,0,0,0.170984456,24635,0,0,15,104,1349.972366,686.1727116,663.7996546,67,14867,F,26,26,1,0,0,0,177686,0.748,10045,135,1.555,6449.5
314,66840,24,2785,C,after_transaction,463,2546.457883,1297.714903,1248.742981,325.2721382,0,4.727861771,2.375809935,0,0,0.203023758,50091,13691,0,100,176,2214.082073,1292.987041,921.0950324,57,22774,F,60,62,2,0,0,0,58796,0.519,9045,124,3.35,1862
319,369000,60,6150,C,weekly,633,1635.718799,864.892575,770.8262243,30.05687204,12.48657188,5.781990521,0.900473934,0,0,0.27014218,13115,1057,832,30,190,1586.492891,859.1105845,727.3823065,95,59545,F,25,25,1,0,0,0,162580,0.728,9538,111,1.655,5744.5
